question,reference_answer,reference_context,conversation_history,metadata
"Could you specify the precise street address, including suite number and postal code, for Arcadia Home Care, making sure to mention any relevant intersections or landmarks in Toronto?","c/o Arcadia Home Care 1 Yonge St, Suite 1801 Toronto, ON M5E 1W7","Document 73: question: What is the website URL? (Arcadia Home Care)
answer: www.arcadiahomecare.ca Address: c/o Arcadia Home Care 1 Yonge St, Suite 1801 Toronto, ON M5E 1W7 Map c/o Arcadia Home Care 1 Yonge St, Suite 1801 Toronto, ON M5E 1W7 Map Intersection: Yonge St and Queens Quay E Location: Toronto (Waterfront Communities-The Island)",[],"{'question_type': 'complex', 'seed_document_id': 73, 'topic': 'Community Support Services'}"
"Considering the services provided by Anovity Professional Home Healthcare, what is the specific language they offer support in, and are there any regional constraints or limitations associated with this language support?",English,"Document 34: question: What languages are supported? (Anovity Professional Home Healthcare)
answer: English Language Notes: English Area Served: Durham Region Durham Region This information was last completely updated on January 10, 2024 URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=201336 ",[],"{'question_type': 'complex', 'seed_document_id': 34, 'topic': 'Others'}"
"Under what specific conditions and on which days can I access support services related to social housing, including assistance with applications and resolving disputes?","Mon, Tue, Thu 8:30am-4pm","Document 86: question: What are the service hours? (supporting social housing: Assistance applying for social housing help resolving landlord/tenant disputes counselling workshops and support groups of interest to Aboriginal tenants information and referral to general services Fees: None)
answer: Mon, Tue, Thu 8:30am-4pm Public Contacts: Antonella Morra - Housing Counsellor",[],"{'question_type': 'complex', 'seed_document_id': 86, 'topic': 'Community Support Services'}"
"Could you specify the precise locations of the satellite offices affiliated with the Anishinabek Nation - Union of Ontario Indians, and ensure to mention any First Nations they are associated with?","Satellite offices in Fort William First Nation, Curve Lake First Nation and Munsee-Delaware First Nation.","Document 25: question: What is the service description? (Anishinabek Nation - Union of Ontario Indians)
answer: Advocacy for 40 member First Nations across Ontario * collective action on a variety of issues * regional grand chiefs represent four strategic regional areas: Southwest, Southeast, Lake Huron and Northern Superior  Variety of programs and services, including health, social services, education, intergovernmental affairs and treaty research * approximately 70 staff members  Satellite offices in Fort William First Nation, Curve Lake First Nation and Munsee-Delaware First Nation  Anishinabek Educational Institute - Full-time education and training programs for First Nation Anishinabek communities * includes programs for Native Community Workers, Early Childhood Education and Personal Support Workers * campus locations in North Bay and Muncey * www.aeipostsecondary.ca",[],"{'question_type': 'complex', 'seed_document_id': 25, 'topic': 'Others'}"
"Could you specify the exact daily operating hours for the Anishinabek Nation - Union of Ontario Indians administration, including any variations throughout the week, if applicable?",Administration Mon 8:30am-4:30pm Tue 8:30am-4:30pm Wed 8:30am-4:30pm Thu 8:30am-4:30pm Fri 8:30am-4:30pm,"Document 27: question: What is the website URL? (Anishinabek Nation - Union of Ontario Indians)
answer: www.anishinabek.ca Address: 1 Migizii Miikan, PO Box 711 North Bay, ON P1B 8J8 Map 1 Migizii Miikan, PO Box 711 North Bay, ON P1B 8J8 Map Intersection: Migizii Miikan and Trans-Canada Hwy Location: North Bay Hours: Administration Mon 8:30am-4:30pm Tue 8:30am-4:30pm Wed 8:30am-4:30pm Thu 8:30am-4:30pm Fri 8:30am-4:30pm Administration Mon 8:30am-4:30pm Tue 8:30am-4:30pm Wed 8:30am-4:30pm Thu 8:30am-4:30pm Fri 8:30am-4:30pm Executives: Reg Niganobe - Grand Council Chief",[],"{'question_type': 'complex', 'seed_document_id': 27, 'topic': 'Others'}"
"When applying for Amplifon services specifically in Cobourg, is it mandatory to have a referral, or can the application be submitted without one under any circumstances?",No referral required,"Document 11: question: What are the application details? (Amplifon - Cobourg)
answer: No referral required",[],"{'question_type': 'complex', 'seed_document_id': 11, 'topic': 'Hearing Clinic Services'}"
"Under the condition that the Association française des municipalités de l'Ontario focuses on French-speaking communities, what is their primary goal or mission in terms of municipal services in Ontario?",Works to maintain and improve French municipal services in Ontario.,"Document 134: question: What is the service description? (Association française des municipalités de l'Ontario (L'))
answer: Forum and services for French-speaking elected municipal officers and directors * works to maintain and improve French municipal services in Ontario * training and professional development",[],"{'question_type': 'complex', 'seed_document_id': 134, 'topic': 'Others'}"
"Under what specific circumstances or conditions are Aboriginal individuals prioritized for receiving social housing assistance, particularly in terms of income levels and housing stability risks?",Priority given to Aboriginal persons with low or moderate incomes at risk of losing their housing.,"Document 84: question: What are the eligibility criteria? (supporting social housing: Assistance applying for social housing help resolving landlord/tenant disputes counselling workshops and support groups of interest to Aboriginal tenants information and referral to general services Fees: None)
answer: Priority given to Aboriginal persons with low or moderate incomes at risk of losing their housing",[],"{'question_type': 'complex', 'seed_document_id': 84, 'topic': 'Community Support Services'}"
"Under what specific circumstances, if any, would a referral be necessary when applying for Arcadia Home Care, considering the general application process?",No referral required,"Document 70: question: What are the application details? (Arcadia Home Care)
answer: No referral required",[],"{'question_type': 'complex', 'seed_document_id': 70, 'topic': 'Community Support Services'}"
Under what conditions can individuals with a confirmed arthritis diagnosis and their families access services from Arthritis Society Canada?,People of all ages with any form of a confirmed arthritis diagnosis and their families/parents,"Document 108: question: What are the eligibility criteria? (Arthritis Society Canada)
answer: People of all ages with any form of a confirmed arthritis diagnosis and their families/parents",[],"{'question_type': 'distracting element', 'seed_document_id': 108, 'distracting_context': 'question: What are the eligibility criteria? (Appletree Medical Centre - Scarborough)\nanswer: People who need medical care for minor illnesses and injuries', 'topic': 'Community Support Services'}"
"Could you provide the contact number for Appletree Medical Centre in Scarborough, considering that I might need to call outside of regular business hours?",647-722-2370,"Document 53: question: What are the contact details? (Appletree Medical Centre - Scarborough)
answer: 647-722-2370",[],"{'question_type': 'distracting element', 'seed_document_id': 53, 'distracting_context': 'question: What are the contact details? (Anishinabek Nation - Union of Ontario Indians)\nanswer: 705-497-9127', 'topic': 'Others'}"
"Could you provide the service hours for support related to social housing, specifically for clients who are only available to communicate in English?","Mon, Tue, Thu 8:30am-4pm","Document 86: question: What are the service hours? (supporting social housing: Assistance applying for social housing help resolving landlord/tenant disputes counselling workshops and support groups of interest to Aboriginal tenants information and referral to general services Fees: None)
answer: Mon, Tue, Thu 8:30am-4pm Public Contacts: Antonella Morra - Housing Counsellor",[],"{'question_type': 'distracting element', 'seed_document_id': 86, 'distracting_context': 'question: What languages are supported? (Appletree Medical Centre - Scarborough)\nanswer: English Area Served: Scarborough and area Scarborough and area This information was last completely updated on October 12, 2023 URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=50069 ', 'topic': 'Community Support Services'}"
"Could you specify who is eligible to receive services at the Armenian Relief Society Toronto Roubina Chapter - Social Service Office, particularly if there are any special considerations for individuals involved in landlord/tenant disputes?","Children, youth, adults and seniors from the community","Document 100: question: What are the eligibility criteria? (Armenian Relief Society Toronto Roubina Chapter - Social Service Office)
answer: Children, youth, adults and seniors from the community",[],"{'question_type': 'distracting element', 'seed_document_id': 100, 'distracting_context': 'question: What are the contact details? (supporting social housing: Assistance applying for social housing help resolving landlord/tenant disputes counselling workshops and support groups of interest to Aboriginal tenants information and referral to general services Fees: None)\nanswer: 416-260-6011', 'topic': 'Armenian Community Support Services'}"
"Could you provide the contact number for the Seniors Safety Line, especially for those who might need non-emergency assistance in the Greater Toronto Area?",1-866-299-1011,"Document 127: question: What are the contact details? (Assaulted Women's Helpline)
answer: Crisis Line * GTA: 416-863-0511 Administration: 416-364-4144 Seniors Safety Line:1-866-299-1011",[],"{'question_type': 'distracting element', 'seed_document_id': 127, 'distracting_context': 'question: What are the eligibility criteria? (Ambu Trans Medical Transportation Services - Greater Toronto Area)\nanswer: anyone requiring non-emergency ambulance transportation', 'topic': 'Support Services in Ontario'}"
"Could you provide the service hours for Anovity Professional Home Healthcare, ensuring that they align with the availability for clients needing 24-hour care?",Daily 8:30am-5:30pm services 24 hours daily,"Document 33: question: What are the service hours? (Anovity Professional Home Healthcare)
answer: Daily 8:30am-5:30pm services 24 hours daily Executives: Tamika John - Owner tamikaj@anovityphhc.ca",[],"{'question_type': 'distracting element', 'seed_document_id': 33, 'distracting_context': 'question: What are the service hours? (Arcadia Home Care)\nanswer: Mon-Sun 7am-9pm Public Contacts: Rohit Tamhane 416-977-0050 ext 5292', 'topic': 'Healthcare Services Information'}"
"Considering the need for accessibility and inclusivity, what specific documentation is required to apply to the Aphasia Institute - Pat Arato Aphasia Centre for individuals with disabilities?",Referral and SLP (Speech Language Pathologist) report required; information available online,"Document 49: question: What are the application details? (Aphasia Institute - Pat Arato Aphasia Centre (The))
answer: Referral and SLP (Speech Language Pathologist) report required; information available online",[],"{'question_type': 'distracting element', 'seed_document_id': 49, 'distracting_context': 'question: What is the service description? (Amplifon - Taunton)\nanswer: Hearing clinic offering: baseline testing full audiological examination including speech testing video otoscopy hearing aids hearing aid accessories 90-day trial period with $0 return fee lifetime unlimited cleaning, reprogramming and minor repairs lifetime free counselling and advice as needed financing options available ALD (assistive listening devices) tinnitus management custom earmolds hearing protection sleep plugs swim plugs shooting and hunting earplugs musician earplugs refer-a-friend program home visit services Authorized Assistive Devices Program (ADP) vendor Fees: Call for current fee schedule * complimentary hearing tests', 'topic': 'Community Support Services'}"
How can I schedule a consultation with Ask4Care Support Services outside of the regular service hours?,Call for a free consultation,"Document 115: question: What are the application details? (Ask4Care Support Services)
answer: Call for a free consultation",[],"{'question_type': 'distracting element', 'seed_document_id': 115, 'distracting_context': 'question: What are the service hours? (supporting social housing: Assistance applying for social housing help resolving landlord/tenant disputes counselling workshops and support groups of interest to Aboriginal tenants information and referral to general services Fees: None)\nanswer: Mon, Tue, Thu 8:30am-4pm Public Contacts: Antonella Morra - Housing Counsellor', 'topic': 'Community Support Services'}"
"Under the condition that I am a resident of Durham Region, what specific medical services can I access at the Appletree Medical Centre - Scarborough, and are there any language accommodations available for non-English speakers?","Walk-in medical clinic with associated family practice * doctors and nurses assess and treat minor illnesses and injuries pap tests for anyone over the age of 25, by appointment diagnostic imaging sleep care lab pharmacy Fees: Most services covered by OHIP","Document 54: question: What is the service description? (Appletree Medical Centre - Scarborough)
answer: Walk-in medical clinic with associated family practice * doctors and nurses assess and treat minor illnesses and injuries pap tests for anyone over the age of 25, by appointment diagnostic imaging sleep care lab pharmacy Fees: Most services covered by OHIP",[],"{'question_type': 'distracting element', 'seed_document_id': 54, 'distracting_context': 'question: What languages are supported? (Amplifon - Taunton)\nanswer: English Area Served: Durham Region Durham Region This information was last completely updated on September 1, 2023 URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=146431 ', 'topic': 'Others'}"
Are there any specific services offered to Aboriginal tenants who reside within the Greater Toronto Area and require support in languages other than English?,Counselling workshops and support groups of interest to Aboriginal tenants.,"Document 82: question: What is the organization name? (supporting social housing: Assistance applying for social housing help resolving landlord/tenant disputes counselling workshops and support groups of interest to Aboriginal tenants information and referral to general services Fees: None)
answer: supporting social housing: Assistance applying for social housing help resolving landlord/tenant disputes counselling workshops and support groups of interest to Aboriginal tenants information and referral to general services Fees: None",[],"{'question_type': 'distracting element', 'seed_document_id': 82, 'distracting_context': 'question: What languages are supported? (Armenian Relief Society Toronto Roubina Chapter - Social Service Office)\nanswer: English * Armenian Area Served: Halton Region, Peel Region, Durham, York Census Division, and Greater Toronto Area Halton Region, Peel Region, Durham, York Census Division, and Greater Toronto Area This information was last completely updated on October 27, 2022 © 2024, Findhelp Information Services URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=15945 ', 'topic': 'Community Support Services'}"
"Hi, I'm looking into home care options for my elderly mother. Could you tell me what the eligibility criteria are for Arcadia Home Care?",People requiring home care services,"Document 69: question: What are the eligibility criteria? (Arcadia Home Care)
answer: People requiring home care services",[],"{'question_type': 'situational', 'seed_document_id': 69, 'situational_context': 'A concerned daughter is inquiring about services for her elderly mother, who may soon need assistance at home.', 'topic': 'Community Support Services'}"
"Hi, I'm looking into Applewood Retirement Residence for my elderly parents. Could you tell me what needs to be done before they can be admitted?",Prior to admission each resident is assessed to ensure that their needs can be met by this facility.,"Document 62: question: What are the eligibility criteria? (Applewood Retirement Residence)
answer: Prior to admission each resident is assessed to ensure that their needs can be met by this facility.",[],"{'question_type': 'situational', 'seed_document_id': 62, 'situational_context': ""Jane is considering moving her elderly parents into the Applewood Retirement Residence and wants to ensure it's the right fit for their needs."", 'topic': 'Community Support Services'}"
"Hi, I'm trying to arrange home care services for my elderly parent in Ontario. Can you tell me the name of the organization mentioned in the context related to Carefirst's offerings?",Arcadia Home Care,"Document 66: question: What is the organization name? (Arcadia Home Care)
answer: Arcadia Home Care",[],"{'question_type': 'situational', 'seed_document_id': 66, 'situational_context': ""A concerned family member is looking to arrange home care services in Ontario for their elderly parent, hoping to find information about Carefirst's offerings and support."", 'topic': 'Community Support Services'}"
"Hi, I'm having trouble booking an appointment at Appletree Medical Centre in Scarborough due to a language barrier. Can you tell me what the primary language they support is?",English,"Document 57: question: What languages are supported? (Appletree Medical Centre - Scarborough)
answer: English Area Served: Scarborough and area Scarborough and area This information was last completely updated on October 12, 2023 URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=50069 ",[],"{'question_type': 'situational', 'seed_document_id': 57, 'situational_context': 'Frustrated by a language barrier while trying to book an appointment at Appletree Medical Centre, Maria wonders if they cater to her needs in Scarborough.', 'topic': 'Others'}"
"Hi, can you tell me the service hours for ARCH Disability Law Centre? I need to plan a call for my brother's legal help around my full-time job schedule.","Mon-Fri 9 am-1 pm, 2 pm-5 pm; no intake on Thursdays","Document 79: question: What are the service hours? (ARCH Disability Law Centre)
answer: Mon-Fri 9 am-1 pm, 2 pm-5 pm; no intake on Thursdays",[],"{'question_type': 'situational', 'seed_document_id': 79, 'situational_context': ""Jessica, trying to balance her full-time job, is jotting down the service hours she needs to call the ARCH Disability Law Centre for her brother's legal help."", 'topic': 'Others'}"
"Hi, could you tell me the office hours for the Anishinabek Nation - Union of Ontario Indians administration? I'm trying to find their website to learn more about their community initiatives and events.","The administration office hours are Monday to Friday, from 8:30am to 4:30pm.","Document 27: question: What is the website URL? (Anishinabek Nation - Union of Ontario Indians)
answer: www.anishinabek.ca Address: 1 Migizii Miikan, PO Box 711 North Bay, ON P1B 8J8 Map 1 Migizii Miikan, PO Box 711 North Bay, ON P1B 8J8 Map Intersection: Migizii Miikan and Trans-Canada Hwy Location: North Bay Hours: Administration Mon 8:30am-4:30pm Tue 8:30am-4:30pm Wed 8:30am-4:30pm Thu 8:30am-4:30pm Fri 8:30am-4:30pm Administration Mon 8:30am-4:30pm Tue 8:30am-4:30pm Wed 8:30am-4:30pm Thu 8:30am-4:30pm Fri 8:30am-4:30pm Executives: Reg Niganobe - Grand Council Chief",[],"{'question_type': 'situational', 'seed_document_id': 27, 'situational_context': 'Sarah is trying to find the website address of the Anishinabek Nation to learn about their community initiatives and events.', 'topic': 'Others'}"
"Hi, we are exploring care options for my elderly mother to keep her comfortable and supported at home. Could you tell me what types of care services Arcadia Home Care provides?","Arcadia Home Care provides a full range of home health care services including personal hygiene and assistance with activities of daily living, medication assistance and recording, shopping, meal planning and preparation, companionship, assistance with errands and appointments, housekeeping, reminiscence therapy, cognitive stimulation, behavioural management, restorative care, palliative care, foot care and geriatric case management.","Document 68: question: What is the service description? (Arcadia Home Care)
answer: Home care for seniors - offers full range of home health care services to meet the needs of families coping with alzheimer's, acquired brain injury and related dementia  Services - personal hygiene and assistance with activities of daily living, medication assistance and recording, shopping, meal planning and preparation, companionship, assistance with errands and appointments, housekeeping, reminiscence therapy, cognitive stimulation, behavioural management, restorative care, palliative care, foot care and geriatric case management Fees: Set fee",[],"{'question_type': 'situational', 'seed_document_id': 68, 'situational_context': 'An elderly woman and her family are discussing care options to ensure she remains comfortable and well-supported at home.', 'topic': 'Community Support Services'}"
"Hello, I've just been diagnosed with arthritis and I'm trying to find out if I and my family are eligible for services from Arthritis Society Canada. Could you provide some information on that?",People of all ages with any form of a confirmed arthritis diagnosis and their families/parents.,"Document 108: question: What are the eligibility criteria? (Arthritis Society Canada)
answer: People of all ages with any form of a confirmed arthritis diagnosis and their families/parents",[],"{'question_type': 'situational', 'seed_document_id': 108, 'situational_context': 'A woman recently diagnosed with arthritis is eager to learn about support options available for her and her family in Ontario.', 'topic': 'Community Support Services'}"
"Hi, I'm trying to support a friend who recently went through a difficult time. Could you provide me with the contact information for the Assaulted Women's Helpline?",Crisis Line * GTA: 416-863-0511 Administration: 416-364-4144 Seniors Safety Line:1-866-299-1011,"Document 127: question: What are the contact details? (Assaulted Women's Helpline)
answer: Crisis Line * GTA: 416-863-0511 Administration: 416-364-4144 Seniors Safety Line:1-866-299-1011",[],"{'question_type': 'situational', 'seed_document_id': 127, 'situational_context': ""With the memory of a friend's recent troubling experience weighing heavy on their mind, Alex sought out the contact details for the Assaulted Women's Helpline to offer a compassionate hand."", 'topic': 'Support Services in Ontario'}"
"Hi, I'm trying to gather some information for my joint pain management. Could you tell me the name of the organization that provides support for this?",Arthritis Society Canada,"Document 105: question: What is the organization name? (Arthritis Society Canada)
answer: Arthritis Society Canada",[],"{'question_type': 'situational', 'seed_document_id': 105, 'situational_context': 'Sarah is trying to find information about the Arthritis Society Canada while seeking support for her joint pain management options.', 'topic': 'Others'}"
What are the eligibility criteria for receiving medical care and what type of medical conditions does Appletree Medical Centre in Scarborough cater to?,Appletree Medical Centre in Scarborough provides medical care for people who need assistance with minor illnesses and injuries.,"Document 55: question: What are the eligibility criteria? (Appletree Medical Centre - Scarborough)
answer: People who need medical care for minor illnesses and injuries",[],"{'question_type': 'double', 'original_questions': [{'question': 'What are the eligibility criteria for receiving medical care at Appletree Medical Centre in Scarborough?', 'answer': 'People who need medical care for minor illnesses and injuries.'}, {'question': 'What type of medical conditions does Appletree Medical Centre in Scarborough cater to?', 'answer': 'Appletree Medical Centre in Scarborough provides medical care for minor illnesses and injuries.'}], 'seed_document_id': 55, 'topic': 'Others'}"
What are the application details and required documents for the Aphasia Institute - Pat Arato Aphasia Centre?,"A referral and an SLP (Speech Language Pathologist) report are required, and information is available online.","Document 49: question: What are the application details? (Aphasia Institute - Pat Arato Aphasia Centre (The))
answer: Referral and SLP (Speech Language Pathologist) report required; information available online",[],"{'question_type': 'double', 'original_questions': [{'question': 'What are the application details for the Aphasia Institute - Pat Arato Aphasia Centre?', 'answer': 'Referral and SLP (Speech Language Pathologist) report required; information available online.'}, {'question': 'What documents are needed to apply to the Aphasia Institute - Pat Arato Aphasia Centre?', 'answer': 'A referral and an SLP (Speech Language Pathologist) report are required.'}], 'seed_document_id': 49, 'topic': 'Community Support Services'}"
What languages are supported by Amplifon in Cobourg and what area is served?,"English is the supported language, and Amplifon in Cobourg serves Northumberland County.","Document 13: question: What languages are supported? (Amplifon - Cobourg)
answer: English Area Served: Northumberland County Northumberland County This information was last completely updated on September 1, 2023 URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=191553 ",[],"{'question_type': 'double', 'original_questions': [{'question': 'What languages are supported by Amplifon in Cobourg?', 'answer': 'English is the supported language.'}, {'question': 'What area is served by Amplifon in Cobourg?', 'answer': 'Amplifon in Cobourg serves Northumberland County.'}], 'seed_document_id': 13, 'topic': 'Others'}"
What payment methods do you accept for purchases and how can I track my order after it has been shipped?,"You can make a purchase using major credit and debit cards, including Visa, Mastercard, American Express, and Discover, as well as digital wallets like PayPal and Google Pay, or bank and wire transfers. After your purchase is confirmed and shipped, you'll receive a confirmation email with a tracking number, which you can use to monitor your shipment's progress in real-time via the link provided or on our order tracking page.","Document 123: question: What are the application details? (Asperger's Society of Ontario)
answer: Call or visit website",[],"{'question_type': 'double', 'original_questions': [{'question': 'What payment methods do you accept for purchases?', 'answer': 'You can make a purchase using major credit and debit cards, including Visa, Mastercard, American Express, and Discover. We also offer the option to pay with popular digital wallets such as PayPal and Google Pay. For added flexibility, you can choose to complete your order using bank transfers or wire transfers.'}, {'question': 'How can I track my order after it has been shipped?', 'answer': ""Once your purchase has been successfully confirmed and shipped, you will receive a confirmation email containing your tracking number. You can click on the link provided in the email or visit our website's order tracking page to monitor the progress of your shipment in real-time.""}], 'seed_document_id': 123, 'topic': 'Community Support Services'}"
What services does the Armenian Relief Society Toronto Roubina Chapter - Social Service Office provide and are there any fees for these services?,"The office provides a range of services including social services need assessment, information and referral to community and social services, help filling out government forms, support for housing and Ontario Works, Ontario Disability Support Program support, child care, school registration, health care, youth services, interpretation, newcomers and refugees orientation, supportive family counselling, and referrals to employment counselling, all of which are free of charge.","Document 99: question: What is the service description? (Armenian Relief Society Toronto Roubina Chapter - Social Service Office)
answer: Social services need assessment, information and referral to community and social services help filling out government forms including housing and Ontario Works, Ontario Disability Support Program support finding housing child care, registering children in school health care, youth services interpretation Newcomers and refugees orientation and adaptation information and referral supportive family counselling -- short-term counselling to clients who encounter difficulties in adjusting to life in Canada referrals to employment counselling -- resume help, job readiness clinic, employment counselling, skills and career development and help in establishing social and professional networks Community support coordinates volunteer visitation to seniors homes and provides Armenian meals, emotional support, pastoral services and organizes cultural events organizes community events such as food drives, bone marrow drives, and social and health education lectures Fees: Free",[],"{'question_type': 'double', 'original_questions': [{'question': 'What services does the Armenian Relief Society Toronto Roubina Chapter - Social Service Office provide?', 'answer': 'The office provides social services need assessment, information and referral to community and social services, help filling out government forms including housing and Ontario Works, Ontario Disability Support Program support, finding housing, child care, registering children in school, health care, youth services, interpretation, newcomers and refugees orientation and adaptation information and referral, supportive family counselling, referrals to employment counselling, and community support.'}, {'question': 'Are there any fees for the services provided by the Armenian Relief Society Toronto Roubina Chapter - Social Service Office?', 'answer': 'The services are free.'}], 'seed_document_id': 99, 'topic': 'Armenian Community Support Services'}"
What payment methods do you accept for purchases and how can I track my order after it has been shipped?,"You can make a purchase using major credit and debit cards, including Visa, Mastercard, American Express, and Discover, as well as digital wallets like PayPal and Google Pay, or through bank and wire transfers. After your order is confirmed and shipped, you'll receive a confirmation email with a tracking number, which you can use to track your shipment in real-time via the link in the email or on our website's order tracking page.","Document 31: question: What are the eligibility criteria? (Anovity Professional Home Healthcare)
answer: all ages",[],"{'question_type': 'double', 'original_questions': [{'question': 'What payment methods do you accept for purchases?', 'answer': 'You can make a purchase using major credit and debit cards, including Visa, Mastercard, American Express, and Discover. We also offer the option to pay with popular digital wallets such as PayPal and Google Pay. For added flexibility, you can choose to complete your order using bank transfers or wire transfers.'}, {'question': 'How can I track my order after it has been shipped?', 'answer': ""Once your purchase has been successfully confirmed and shipped, you will receive a confirmation email containing your tracking number. You can click on the link provided in the email or visit our website's order tracking page. Enter your tracking number to monitor the progress of your shipment in real-time.""}], 'seed_document_id': 31, 'topic': 'Healthcare Services Information'}"
How can I track my order and what are the shipping charges for orders below $50 with Carefirst Ontario services?,"Once your purchase has been successfully confirmed and shipped, you will receive a confirmation email containing your tracking number, which you can use to monitor your shipment in real-time via the link in the email or our website's order tracking page. For orders below $50, we charge a flat rate of $5.99.","Document 0: question: What is the organization name? (Ambu Trans Medical Transportation Services - Greater Toronto Area)
answer: Ambu Trans Medical Transportation Services - Greater Toronto Area",[],"{'question_type': 'double', 'original_questions': [{'question': 'How can I track my order with Carefirst Ontario services?', 'answer': ""Once your purchase has been successfully confirmed and shipped, you will receive a confirmation email containing your tracking number. You can click on the link provided in the email or visit our website's order tracking page to monitor the progress of your shipment in real-time.""}, {'question': 'What are the shipping charges for orders below $50 with Carefirst Ontario services?', 'answer': 'For orders below $50, we charge a flat rate of $5.99.'}], 'seed_document_id': 0, 'topic': 'Others'}"
