question,answer
What are the contact details? (Aphasia Institute - Pat Arato Aphasia Centre (The)),416-226-3636
What is the service description? (Aphasia Institute - Pat Arato Aphasia Centre (The)),Supports for people affected by aphasia as a result of a stroke/brain injury or Primary Progressive Aphasia (PPA) and their families * help people with aphasia and their family/friends understand aphasia * strategies to communicate in new ways * making meaningful connections * rebuilding bridges for those living with aphasia * reducing feelings of isolation * encourage community involvement and social exchange * restoring confidence and improving coping skills for those affected by aphasia * referral to other community services  Services and Programs: Community Aphasia Program Education and Training Living Your Best Life - Primary Progressive Aphasia Services New Beginnings Program Outreach Fees: Varies per program
What are the eligibility criteria? (Aphasia Institute - Pat Arato Aphasia Centre (The)),"Adults affected by aphasia, who need physical, social, or emotional supports"
What are the application details? (Aphasia Institute - Pat Arato Aphasia Centre (The)),Referral and SLP (Speech Language Pathologist) report required; information available online
What languages are supported? (Aphasia Institute - Pat Arato Aphasia Centre (The)),"English Area Served: Toronto and area Toronto and area This information was last completely updated on April 5, 2024 © 2024, Central Local Health Integration Network URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=153865 "
What is the website URL? (Aphasia Institute - Pat Arato Aphasia Centre (The)),"www.aphasia.ca Address: 73 Scarsdale Rd Toronto, ON M3B 2R2 Map 73 Scarsdale Rd Toronto, ON M3B 2R2 Map Intersection: Leslie St and York Mills Rd Location: Toronto (Banbury—Don Mills) Accessibility:     Wheelchair Accessible Hours: Administration Mon 8:30am-4pm Tue 8:30am-4pm Wed 8:30am-4pm Thu 8:30am-4pm Fri 8:30am-4pm  (administrative/program staff working remotely at times, so building is not open every day. Appointments are required.) Administration Mon 8:30am-4pm Tue 8:30am-4pm Wed 8:30am-4pm Thu 8:30am-4pm Fri 8:30am-4pm"
What is the organization name? (Appletree Medical Centre - Scarborough),Appletree Medical Centre - Scarborough
What are the contact details? (Appletree Medical Centre - Scarborough),647-722-2370
What is the service description? (Appletree Medical Centre - Scarborough),"Walk-in medical clinic with associated family practice * doctors and nurses assess and treat minor illnesses and injuries pap tests for anyone over the age of 25, by appointment diagnostic imaging sleep care lab pharmacy Fees: Most services covered by OHIP"
What are the eligibility criteria? (Appletree Medical Centre - Scarborough),People who need medical care for minor illnesses and injuries
What are the application details? (Appletree Medical Centre - Scarborough),Call or visit * no referral required
What languages are supported? (Appletree Medical Centre - Scarborough),"English Area Served: Scarborough and area Scarborough and area This information was last completely updated on October 12, 2023 URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=50069 "
What is the website URL? (Appletree Medical Centre - Scarborough),"www.appletreemedicalgroup.com Address: 2025 Midland Ave Toronto, ON M1P 3E2 Map 2025 Midland Ave Toronto, ON M1P 3E2 Map Intersection: Midland Ave and Ellesmere Rd Location: Scarborough Hours: Service Sun 9am-5pm Mon 9am-7pm Tue 9am-4pm Open Wed 9am-4pm Thu 9am-4pm Fri 9am-4pm Sat 9am-3pm Service Sun 9am-5pm Mon 9am-7pm Tue 9am-4pm Open Wed 9am-4pm Thu 9am-4pm Fri 9am-4pm Sat 9am-3pm"
What is the organization name? (Applewood Retirement Residence),Applewood Retirement Residence
What are the contact details? (Applewood Retirement Residence),705-749-1500
What is the service description? (Applewood Retirement Residence),"Retirement Home:  CAPACITY: 92 studio suites, 25 one-bedroom suites and 7 one-bedroom ""Empire"" suites  SHORT STAY/RESPITE: Respite upon availability.  Provides 24 hour nursing supervision with an emergency response system in each room, nursing services to meet the individual needs of the resident, housekeeping, laundry and dietary service as well as activity programs. Applewood’s monthly activity calendar offers in-house activities such as fitness classes, baking classes, yoga classes, line dancing classes, Wii games, gardening, walking group, horseshoes, shuffleboard and daily exercise programs including physiotherapy classes in balance, strength, flexibility, and mobility. Planned outings include trips to the Wellness Centre for swimming. Soup for the Soul program: Applewood is delivering care packages to the porches of seniors. Each box contains homemade soup, tea biscuits and cookies along with activities to keep boredom away. Call the office to receive a complimentary care package. Fees: Prices for each retirement home vary. Some services may be included in the basic charge while others are charged at an additional cost. Check directly with the retirement home to determine the exact fees for the services which are required."
What are the eligibility criteria? (Applewood Retirement Residence),Prior to admission each resident is assessed to ensure that their needs can be met by this facility.
What are the application details? (Applewood Retirement Residence),Waiting Period - Depending upon bed availability.
What languages are supported? (Applewood Retirement Residence),"English Area Served: Peterborough (County of) Peterborough (County of) This information was last completely updated on March 20, 2024 URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=120037 "
What is the website URL? (Applewood Retirement Residence),"levseniorliving.com/applewoodrr/ Address: 1500 Lansdowne St W Peterborough, ON K9J 2A2 Map 1500 Lansdowne St W Peterborough, ON K9J 2A2 Map Intersection: Lansdowne and Kawartha Heights Blvd Accessibility:     Wheelchair Accessible Accessibility Notes: Wheelchair ramp on the west side of the building * ground level access at east side entrance Hours: Service Sun 24 hours Mon 24 hours Tue 24 hours Open Wed 24 hours Thu 24 hours Fri 24 hours Sat 24 hours Service Sun 24 hours Mon 24 hours Tue 24 hours Open Wed 24 hours Thu 24 hours Fri 24 hours Sat 24 hours Executives: Paul Humphreys - Executive Director"
What is the organization name? (Arcadia Home Care),Arcadia Home Care
What are the contact details? (Arcadia Home Care),416-977-0050
What is the service description? (Arcadia Home Care),"Home care for seniors - offers full range of home health care services to meet the needs of families coping with alzheimer's, acquired brain injury and related dementia  Services - personal hygiene and assistance with activities of daily living, medication assistance and recording, shopping, meal planning and preparation, companionship, assistance with errands and appointments, housekeeping, reminiscence therapy, cognitive stimulation, behavioural management, restorative care, palliative care, foot care and geriatric case management Fees: Set fee"
What are the eligibility criteria? (Arcadia Home Care),People requiring home care services
What are the application details? (Arcadia Home Care),No referral required
What are the service hours? (Arcadia Home Care),Mon-Sun 7am-9pm Public Contacts: Rohit Tamhane 416-977-0050 ext 5292
What languages are supported? (Arcadia Home Care),"Cantonese * English * French * Hindi Language Notes: Interpretation for more languages available Area Served: Coboconk, Fenelon Falls, Lindsay, Barrie, Belleville, Kingston, Orillia, and Toronto (Old Toronto) Coboconk, Fenelon Falls, Lindsay, Barrie, Belleville, Kingston, Orillia, and Toronto (Old Toronto) This information was last completely updated on June 12, 2023 © 2024, Toronto Central Local Health Integration Network URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=132332  Collect calls accepted"
What is the website URL? (Arcadia Home Care),"www.arcadiahomecare.ca Address: c/o Arcadia Home Care 1 Yonge St, Suite 1801 Toronto, ON M5E 1W7 Map c/o Arcadia Home Care 1 Yonge St, Suite 1801 Toronto, ON M5E 1W7 Map Intersection: Yonge St and Queens Quay E Location: Toronto (Waterfront Communities-The Island)"
What is the organization name? (ARCH Disability Law Centre),ARCH Disability Law Centre
What are the contact details? (ARCH Disability Law Centre),416-482-8255
What is the service description? (ARCH Disability Law Centre),"Community legal clinic  Summary Advice and Referral -- confidential advice and information related to disability issues telephone service limited representation in test case litigation representation for individuals in priority cases collect calls accepted public speaking law reform initiatives adaptive technology workstations for Internet access, Monday-Friday 10 am-4 pm electronic newsletter funded by Legal Aid Ontario Fees: None"
What are the eligibility criteria? (ARCH Disability Law Centre),"People with disabilities, must meet financial and case eligibility guidelines"
What are the application details? (ARCH Disability Law Centre),Call to speak with Intake Coordinator and Human Rights Worker
What are the service hours? (ARCH Disability Law Centre),"Mon-Fri 9 am-1 pm, 2 pm-5 pm; no intake on Thursdays"
What languages are supported? (ARCH Disability Law Centre),"English * French Language Notes: (interpreters by appointment) Area Served: Greater Toronto Area Greater Toronto Area This information was last completely updated on June 20, 2023 © 2024, Findhelp Information Services URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=185730 "
What is the website URL? (ARCH Disability Law Centre),"archdisabilitylaw.ca Address: 55 University Ave 15th Fl Toronto, ON M5J 2H7 Map 55 University Ave 15th Fl Toronto, ON M5J 2H7 Map Location: Cross street: University Ave and King St W Accessibility Notes: Wheelchair accessible automatic main entrance ; Dedicated accessible washroom with all features ; Elevator with braille features"
What is the organization name? (supporting social housing: Assistance applying for social housing help resolving landlord/tenant disputes counselling workshops and support groups of interest to Aboriginal tenants information and referral to general services Fees: None),supporting social housing: Assistance applying for social housing help resolving landlord/tenant disputes counselling workshops and support groups of interest to Aboriginal tenants information and referral to general services Fees: None
What are the contact details? (supporting social housing: Assistance applying for social housing help resolving landlord/tenant disputes counselling workshops and support groups of interest to Aboriginal tenants information and referral to general services Fees: None),416-260-6011
What are the eligibility criteria? (supporting social housing: Assistance applying for social housing help resolving landlord/tenant disputes counselling workshops and support groups of interest to Aboriginal tenants information and referral to general services Fees: None),Priority given to Aboriginal persons with low or moderate incomes at risk of losing their housing
What are the application details? (supporting social housing: Assistance applying for social housing help resolving landlord/tenant disputes counselling workshops and support groups of interest to Aboriginal tenants information and referral to general services Fees: None),Call or drop in * office access code 1094
What are the service hours? (supporting social housing: Assistance applying for social housing help resolving landlord/tenant disputes counselling workshops and support groups of interest to Aboriginal tenants information and referral to general services Fees: None),"Mon, Tue, Thu 8:30am-4pm Public Contacts: Antonella Morra - Housing Counsellor"
What languages are supported? (supporting social housing: Assistance applying for social housing help resolving landlord/tenant disputes counselling workshops and support groups of interest to Aboriginal tenants information and referral to general services Fees: None),"English Area Served: Toronto Toronto This information was last completely updated on February 14, 2024 URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=143499 "
What is the website URL? (supporting social housing: Assistance applying for social housing help resolving landlord/tenant disputes counselling workshops and support groups of interest to Aboriginal tenants information and referral to general services Fees: None),"www.aboriginalhsc.org Address: 3087 Danforth Ave Toronto, ON M1L 1A9 Map 3087 Danforth Ave Toronto, ON M1L 1A9 Map Intersection: Victoria Park Ave and Danforth Ave Location: Toronto (Oakridge) Accessibility:     Wheelchair Accessible"
What is the organization name? (Armenian Family Support Services),Armenian Family Support Services
What are the contact details? (Armenian Family Support Services),416-431-5549
What is the service description? (Armenian Family Support Services),"Settlement services for immigrants and refugees individual, family and youth counselling information and referral, housing search assistance assistance with government forms, translation and intrepretation refugee settlement information and assistance youth outreach, volunteer opportunities employment consulting, assistance with resumes and interview skills, employment mentoring, employment workshops Fees: None"
What are the eligibility criteria? (Armenian Family Support Services),No restrictions
What are the application details? (Armenian Family Support Services),Call for appointment
What are the service hours? (Armenian Family Support Services),"Mon 9 am-12 noon, Wed-Thu 9 am-4 pm, Sun 10 am-1 pm"
What languages are supported? (Armenian Family Support Services),"English * Armenian * Farsi Area Served: Halton Region, Peel Region, Durham, York Census Division, and Greater Toronto Area Halton Region, Peel Region, Durham, York Census Division, and Greater Toronto Area This information was last completely updated on November 21, 2023 © 2024, Findhelp Information Services URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=133746 "
What is the website URL? (Armenian Family Support Services),"www.afsstoronto.ca Address: Holy Trinity Armenian Church, 920 Progress Ave Toronto, ON M1G 3T5 Map Holy Trinity Armenian Church, 920 Progress Ave Toronto, ON M1G 3T5 Map Location: Cross street: Markham Rd and Hwy 401 Accessibility Notes: Fully accessible - Designated parking at entrance ; Easy access to elevator ; Wheelchair accessible building including main entrance and barrier free washrooms"
What is the organization name? (Armenian Relief Society Toronto Roubina Chapter - Social Service Office),Armenian Relief Society Toronto Roubina Chapter - Social Service Office
What are the contact details? (Armenian Relief Society Toronto Roubina Chapter - Social Service Office),416-495-0644
What is the service description? (Armenian Relief Society Toronto Roubina Chapter - Social Service Office),"Social services need assessment, information and referral to community and social services help filling out government forms including housing and Ontario Works, Ontario Disability Support Program support finding housing child care, registering children in school health care, youth services interpretation Newcomers and refugees orientation and adaptation information and referral supportive family counselling -- short-term counselling to clients who encounter difficulties in adjusting to life in Canada referrals to employment counselling -- resume help, job readiness clinic, employment counselling, skills and career development and help in establishing social and professional networks Community support coordinates volunteer visitation to seniors homes and provides Armenian meals, emotional support, pastoral services and organizes cultural events organizes community events such as food drives, bone marrow drives, and social and health education lectures Fees: Free"
What are the eligibility criteria? (Armenian Relief Society Toronto Roubina Chapter - Social Service Office),"Children, youth, adults and seniors from the community"
What are the application details? (Armenian Relief Society Toronto Roubina Chapter - Social Service Office),"Call, email or walk in"
What are the service hours? (Armenian Relief Society Toronto Roubina Chapter - Social Service Office),Mon-Fri 10 am-4 pm Public Contacts: Aline Kargotsian
What languages are supported? (Armenian Relief Society Toronto Roubina Chapter - Social Service Office),"English * Armenian Area Served: Halton Region, Peel Region, Durham, York Census Division, and Greater Toronto Area Halton Region, Peel Region, Durham, York Census Division, and Greater Toronto Area This information was last completely updated on October 27, 2022 © 2024, Findhelp Information Services URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=15945 "
What is the website URL? (Armenian Relief Society Toronto Roubina Chapter - Social Service Office),"www.acctoronto.ca/organizations/armenian-relief-so... Address: ARS Social Services, 45 Hallcrown Place Toronto, ON M2J 4Y4 Map ARS Social Services, 45 Hallcrown Place Toronto, ON M2J 4Y4 Map Location: Cross street: Victoria Park Ave and Hwy 401 Accessibility Notes: Designated parking at entrance - lot ; Street parking close to entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall ; Main floor accessible only"
What is the organization name? (Arthritis Society Canada),Arthritis Society Canada
What are the contact details? (Arthritis Society Canada),416-979-7228
What is the service description? (Arthritis Society Canada),"Funds and promotes arthritis education, research-based solutions and community-based support  Education, programs and support to people living with arthritis  Arthritis Rehabilitation and Education Program: Community-based rehabilitation program * physiotherapists, occupational therapists and social workers available * individual consultation and group education sessions * topics may include: dealing with pain arthritis medications exercises to reduce stiffness, increase strength and improve fitness new ways to be active and minimize stress on joints coping with the emotional impact of arthritis self-management strategies  Support and Self Management Programs:  Chronic Pain Management Workshops - 2 hour course on pain management * participants learn new information and skills, discuss ideas and share experiences with others that have chronic pain or care about people who live with chronic pain  Online self-management courses - E-learning programs, including ""Mental Health and Well Being"" and ""Overcoming Fatigue""  Support for Childhood Arthritis - Resources to help families live better with childhood arthritis * includes: Childhood Arthritis Backpack Program, Arthritis Camps, Family Day (Project THRIVE), MediKidz Online, other resources  Flourish - Online health and wellness advice, self-management tips, inspirational stories aimed to help you move through life with arthritis  Regional Office Burlington, Hamilton & Niagara Peterborough St Catharines Ottawa Kingston Kitchener Grey & Bruce Sudbury Sault Ste Marie Thunder Bay London Mississauga Fees: Free"
What are the eligibility criteria? (Arthritis Society Canada),People of all ages with any form of a confirmed arthritis diagnosis and their families/parents
What are the application details? (Arthritis Society Canada),Self-referral or referral from health care provider for people with arthritis * see referral form or call office
What languages are supported? (Arthritis Society Canada),"English * French Language Notes: French telephone service and website Area Served: Ontario Ontario This information was last completely updated on September 13, 2023 © 2024, THL Information Network URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=174826 "
What is the website URL? (Arthritis Society Canada),"www.arthritis.ca Address: 220 Bay St, Suite 300 Toronto, ON M5J 2W4 Map 220 Bay St, Suite 300 Toronto, ON M5J 2W4 Map Intersection: Wellington St W and Bay St Location: Toronto (Old Toronto) Accessibility:     Wheelchair Accessible Hours: Administration Mon 9am-5pm Tue 9am-5pm Wed 9am-5pm Thu 9am-5pm Fri 9am-5pm Administration Mon 9am-5pm Tue 9am-5pm Wed 9am-5pm Thu 9am-5pm Fri 9am-5pm Executives: Trish Barbato - President and Chief Executive Officer"
What is the organization name? (Ask4Care Support Services),Ask4Care Support Services
What are the contact details? (Ask4Care Support Services),647-557-3321
What is the service description? (Ask4Care Support Services),"Services include: personal support care and support for the elderly, special needs and ABI (Acquired brain injury) assisting with medical appointments, assist with grocery shopping companionship nursing services palliative care staff to support and provide end-of-life care for patients and families child care support medication administration and reminders foot care therapy services caregiver relief live-in caregivers home keeping Fees: Contact for fees information"
What are the application details? (Ask4Care Support Services),Call for a free consultation
What are the service hours? (Ask4Care Support Services),416-565-9458
What languages are supported? (Ask4Care Support Services),"English * Arabic * Chinese (Cantonese) * Chinese (Mandarin) * Dutch * German * Hindi * Italian * Korean * Polish * Portuguese * Russian * Spanish Language Notes: Support services can be offered in a variety of other languages Area Served: Angus, Stroud, Innisfil, Toronto, Peel Region, and York Region Angus, Stroud, Innisfil, Toronto, Peel Region, and York Region This information was last completely updated on November 22, 2023 © 2024, Central Local Health Integration Network URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=143828 "
What is the website URL? (Ask4Care Support Services),"www.Ask4care.com Address: c/o Mustafa Yacoob 365A Wilson Ave, Suite 205 Toronto, ON M3H 1T3 Map c/o Mustafa Yacoob 365A Wilson Ave, Suite 205 Toronto, ON M3H 1T3 Map Intersection: Bathurst St and Wilson Ave Location: Toronto (Clanton Park) Accessibility:     Not Wheelchair Accessible Hours: Administration Mon 9am-5pm Tue 9am-5pm Wed 9am-5pm Thu 9am-5pm Fri 9am-5pm  Service: Daily 24 hours Administration Mon 9am-5pm Tue 9am-5pm Wed 9am-5pm Thu 9am-5pm Fri 9am-5pm"
What is the organization name? (Asperger's Society of Ontario),Asperger's Society of Ontario
What are the contact details? (Asperger's Society of Ontario),416-651-4037
What is the service description? (Asperger's Society of Ontario),"Provides support as well as educational information for people with Asperger's Syndrome and their families * goals include enhancing public and professional awareness around Asperger's Syndrome, including the unique challenges, and needs of these individuals and their families too  AsperLink- ASO ActionLine : Program specialist is available via phone or email to provide information and guidance to all requests concerning Asperger Syndrome and its services  Adult Social Group: Social group for adults with Asperger Syndrome * meets monthly in the Greater Toronto Area"
What are the eligibility criteria? (Asperger's Society of Ontario),People of all ages with Asperger's Syndrome and their families * general public
What are the application details? (Asperger's Society of Ontario),Call or visit website
What languages are supported? (Asperger's Society of Ontario),"English Area Served: Ontario Ontario This information was last completely updated on February 22, 2024 © 2024, THL Information Network URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=12294 "
What is the website URL? (Asperger's Society of Ontario),"www.asontario.org Address: 3219 Yonge St, Suite 231 Toronto, ON M4N 3S1 3219 Yonge St, Suite 231 Toronto, ON M4N 3S1 Executives: Alexandra Prefasi - Executive Director"
What is the organization name? (Assaulted Women's Helpline),Assaulted Women's Helpline
What are the contact details? (Assaulted Women's Helpline),Crisis Line * GTA: 416-863-0511 Administration: 416-364-4144 Seniors Safety Line:1-866-299-1011
